curve,operation,size,threads,execution_mode,repetitions,elapsed_ns_p50,elapsed_ns_p95,elapsed_ns_mean,elapsed_ns_cv,operations,throughput_ops_per_s_p50
BLS12-377,field_mul,2,4,parallel,10,236716.000000,360403.600000,242919.000000,0.30320212,16,67591.544298
BLS12-377,field_mul,2,8,parallel,10,436300.500000,590705.550000,455565.500000,0.19516939,16,36671.972643
BLS12-377,field_mul,4,1,serial,10,841.500000,1341.050000,898.700000,0.31505983,32,38027332.144979
BLS12-377,field_mul,4,2,parallel,10,97426.000000,107547.050000,97020.500000,0.09031619,32,328454.416685
BLS12-377,field_mul,4,4,parallel,10,170951.000000,271203.100000,187053.600000,0.26452688,32,187188.141631
BLS12-377,field_mul,4,8,parallel,10,469899.500000,834535.150000,529329.100000,0.35833682,32,68099.668121
BLS12-377,field_mul,8,1,serial,10,1532.500000,1754.000000,1545.900000,0.09166458,64,41761827.079935
BLS12-377,field_mul,8,2,parallel,10,97244.500000,185565.850000,113055.200000,0.34054676,64,658134.907373
BLS12-377,field_mul,8,4,parallel,10,200222.000000,322936.950000,227553.300000,0.31451558,64,319645.193835
BLS12-377,field_mul,8,8,parallel,10,462673.500000,554735.450000,460714.800000,0.15288754,64,138326.487253
BLS12-377,field_mul,16,1,serial,10,2760.000000,3656.050000,2825.400000,0.17731200,128,46376811.594203
BLS12-377,field_mul,16,2,parallel,10,93043.500000,107378.200000,94021.100000,0.09163035,128,1375700.613154
BLS12-377,field_mul,16,4,parallel,10,223423.000000,327721.250000,226236.500000,0.27656763,128,572904.311553
BLS12-377,field_mul,16,8,parallel,10,499582.000000,539692.000000,473201.500000,0.14143098,128,256214.195067
BLS12-377,field_mul,32,1,serial,10,5274.500000,5692.000000,5214.700000,0.09753957,256,48535406.199640
BLS12-377,field_mul,32,2,parallel,10,90946.500000,101337.650000,90924.900000,0.06965725,256,2814841.692643
BLS12-377,field_mul,32,4,parallel,10,220079.000000,307452.450000,230132.500000,0.26426141,256,1163218.662389
BLS12-377,field_mul,32,8,parallel,10,550892.500000,626057.350000,535616.600000,0.15596255,256,464700.463339
BLS12-377,field_mul,64,1,serial,10,8405.000000,10348.500000,9047.700000,0.12038049,512,60916121.356336
BLS12-377,field_mul,64,2,parallel,10,103838.500000,128477.900000,104005.000000,0.15097372,512,4930733.783712
BLS12-377,field_mul,64,4,parallel,10,215827.000000,231828.500000,193980.000000,0.19906635,512,2372270.383224
BLS12-377,field_mul,64,8,parallel,10,596532.500000,649669.000000,584943.700000,0.10443730,512,858293.554836
BLS12-377,field_mul,128,1,serial,10,18144.000000,20727.000000,18270.000000,0.12279924,1024,56437389.770723
BLS12-377,field_mul,128,2,parallel,10,108762.500000,122038.550000,109089.700000,0.08883741,1024,9415009.768992
BLS12-377,field_mul,128,4,parallel,10,197470.000000,368881.450000,232304.200000,0.38377807,1024,5185597.812326
BLS12-377,field_mul,128,8,parallel,10,518465.000000,650851.900000,507274.500000,0.21619849,1024,1975060.997367
BLS12-377,field_mul,256,1,serial,10,35170.500000,44238.650000,37084.000000,0.13426767,2048,58230619.411154
BLS12-377,field_mul,256,2,parallel,10,112855.500000,127936.050000,114191.200000,0.08237718,2048,18147099.609678
BLS12-377,field_mul,256,4,parallel,10,198325.000000,345725.100000,217706.600000,0.33674454,2048,10326484.306063
BLS12-377,field_mul,256,8,parallel,10,475301.500000,617172.450000,464622.100000,0.26745120,2048,4308843.965357
BLS12-377,field_mul,512,1,serial,10,64199.500000,80317.600000,70236.600000,0.11942542,4096,63801119.946417
BLS12-377,field_mul,512,2,parallel,10,150838.500000,200332.900000,152518.200000,0.20815052,4096,27154870.938123
BLS12-377,field_mul,512,4,parallel,10,195965.000000,334087.900000,217395.300000,0.35385497,4096,20901691.628607
BLS12-377,field_mul,512,8,parallel,10,607315.000000,724147.350000,593948.300000,0.18839999,4096,6744440.693874
BLS12-377,multi_pairing,2,1,serial,10,12393381.500000,13180866.650000,12462949.500000,0.03576964,16,1291.011658
BLS12-377,multi_pairing,2,2,parallel,10,6636788.500000,8836454.450000,7032127.400000,0.15099303,16,2410.804563
BLS12-377,multi_pairing,2,4,parallel,10,3599519.000000,4289591.600000,3743077.500000,0.08725190,16,4445.038351
BLS12-377,multi_pairing,2,8,parallel,10,2669779.000000,2920385.100000,2627620.000000,0.08190862,16,5993.005414
BLS12-377,multi_pairing,4,1,serial,10,18009521.500000,18959484.450000,18084645.300000,0.02856194,32,1776.837880
BLS12-377,multi_pairing,4,2,parallel,10,9008292.500000,10524727.100000,9260944.500000,0.08644177,32,3552.282522
BLS12-377,multi_pairing,4,4,parallel,10,5007937.000000,5333089.450000,5034451.600000,0.04114159,32,6389.856741
BLS12-377,multi_pairing,4,8,parallel,10,3127034.500000,3988240.100000,3323581.000000,0.12719887,32,10233.337688
BLS12-377,multi_pairing,8,1,serial,10,31450230.500000,33077186.200000,31369846.800000,0.04333901,64,2034.961238
BLS12-377,multi_pairing,8,2,parallel,10,15167892.500000,15522941.250000,15182643.600000,0.01631947,64,4219.439187
BLS12-377,multi_pairing,8,4,parallel,10,7945394.000000,8296599.150000,7994714.900000,0.02299413,64,8054.981289
BLS12-377,multi_pairing,8,8,parallel,10,5285807.500000,6269198.350000,5409395.700000,0.13029185,64,12107.894584
BLS12-377,multi_pairing,16,1,serial,10,57910553.500000,64849162.600000,58367225.400000,0.06801389,128,2210.305243
BLS12-377,multi_pairing,16,2,parallel,10,27957927.000000,28568277.500000,27944694.700000,0.01627143,128,4578.307970
BLS12-377,multi_pairing,16,4,parallel,10,14336735.000000,19159598.150000,15169048.900000,0.14017141,128,8928.113688
BLS12-377,multi_pairing,16,8,parallel,10,10335836.500000,11116172.850000,9916778.600000,0.12386038,128,12384.096827
BLS12-377,multi_pairing,32,1,serial,10,106278372.500000,110772864.200000,106673583.800000,0.02418844,256,2408.768538
BLS12-377,multi_pairing,32,2,parallel,10,53542228.000000,57870950.150000,54203252.800000,0.03826842,256,4781.272830
BLS12-377,multi_pairing,32,4,parallel,10,27208124.000000,28822404.950000,27404904.800000,0.03038876,256,9408.954473
BLS12-377,multi_pairing,32,8,parallel,10,17427580.500000,20165454.250000,17290664.400000,0.13482642,256,14689.359777
BLS12-377,multi_pairing,64,1,serial,10,200835584.000000,204676718.700000,201627656.200000,0.00984506,512,2549.349024
BLS12-377,multi_pairing,64,2,parallel,10,103416355.000000,114086588.450000,106237228.600000,0.04472172,512,4950.861012
BLS12-377,multi_pairing,64,4,parallel,10,51932154.500000,55378160.150000,52807332.900000,0.03248215,512,9859.017114
BLS12-377,multi_pairing,64,8,parallel,10,35381150.000000,40251529.000000,35116636.000000,0.11544560,512,14470.982430
BLS12-377,ntt,2,1,serial,10,1623.000000,274172.550000,51026.100000,3.06969498,16,9858287.122612
BLS12-377,ntt,2,2,parallel,10,103285.000000,285518.000000,129591.600000,0.81180360,16,154911.168127
BLS12-377,ntt,2,4,parallel,10,165898.000000,376339.650000,201600.600000,0.49524639,16,96444.803433
BLS12-377,ntt,2,8,parallel,10,623058.000000,771917.100000,622836.300000,0.15486967,16,25679.792250
BLS12-377,ntt,4,1,serial,10,2820.500000,3617.550000,2903.500000,0.16915914,64,22691012.231874
BLS12-377,ntt,4,2,parallel,10,87077.000000,109146.100000,90444.200000,0.12015696,64,734981.682878
BLS12-377,ntt,4,4,parallel,10,149531.500000,175292.250000,150153.800000,0.11140044,64,428003.464153
BLS12-377,ntt,4,8,parallel,10,509484.000000,695739.850000,503204.800000,0.25746099,64,125617.291220
BLS12-377,ntt,8,1,serial,10,5621.000000,13746.350000,6760.800000,0.69431825,192,34157623.198719
BLS12-377,ntt,8,2,parallel,10,91881.500000,116203.200000,96774.500000,0.13386589,192,2089648.079320
BLS12-377,ntt,8,4,parallel,10,174778.500000,324953.950000,205665.700000,0.35589390,192,1098533.286417
BLS12-377,ntt,8,8,parallel,10,537193.500000,622864.700000,512405.600000,0.20086337,192,357413.110918
BLS12-377,ntt,16,1,serial,10,12789.000000,13914.600000,12325.900000,0.11466349,512,40034404.566424
BLS12-377,ntt,16,2,parallel,10,96337.000000,113355.800000,98199.300000,0.09088403,512,5314676.604005
BLS12-377,ntt,16,4,parallel,10,175080.500000,245789.050000,183044.400000,0.21855922,512,2924369.075939
BLS12-377,ntt,16,8,parallel,10,491394.500000,574306.500000,484281.600000,0.14930163,512,1041932.703764
BLS12-377,ntt,32,1,serial,10,24891.000000,33101.050000,26823.100000,0.14219303,1280,51424209.553654
BLS12-377,ntt,32,2,parallel,10,118255.000000,135400.250000,118989.900000,0.11718665,1280,10824066.635660
BLS12-377,ntt,32,4,parallel,10,153943.500000,215054.650000,162543.300000,0.20012134,1280,8314738.848993
BLS12-377,ntt,32,8,parallel,10,507684.500000,677346.000000,521034.400000,0.21686047,1280,2521250.894995
BLS12-377,ntt,64,1,serial,10,55153.000000,70053.350000,58981.800000,0.12240165,3072,55699599.296502
BLS12-377,ntt,64,2,parallel,10,138195.500000,164471.550000,140854.600000,0.11886568,3072,22229377.946460
BLS12-377,ntt,64,4,parallel,10,175602.000000,216542.550000,183096.400000,0.12634480,3072,17494105.989681
BLS12-377,ntt,64,8,parallel,10,575223.000000,613425.300000,552749.400000,0.10666161,3072,5340537.495893
BLS12-377,ntt,128,1,serial,10,132596.500000,153172.000000,136060.200000,0.10826460,7168,54058742.123661
BLS12-377,ntt,128,2,parallel,10,174919.500000,197260.300000,175290.000000,0.07981325,7168,40978850.271125
BLS12-377,ntt,128,4,parallel,10,195664.500000,216377.300000,193290.700000,0.09683673,7168,36634136.493845
BLS12-377,ntt,128,8,parallel,10,550456.000000,678495.950000,562359.300000,0.15085487,7168,13021930.908192
BLS12-377,ntt,256,1,serial,10,280652.500000,355080.700000,305476.900000,0.12154379,16384,58378243.557424
BLS12-377,ntt,256,2,parallel,10,269948.000000,365180.850000,285171.600000,0.17237628,16384,60693170.536548
BLS12-377,ntt,256,4,parallel,10,280548.500000,377369.950000,302141.800000,0.17135847,16384,58399884.511947
BLS12-377,ntt,256,8,parallel,10,507571.500000,678672.550000,515597.800000,0.24491194,16384,32279196.132959
BLS12-377,ntt,512,1,serial,10,648882.500000,796500.050000,692605.000000,0.11674027,36864,56811518.264092
BLS12-377,ntt,512,2,parallel,10,486293.500000,534520.450000,478346.200000,0.09467408,36864,75806071.847557
BLS12-377,ntt,512,4,parallel,10,393412.000000,463128.850000,402632.400000,0.08620511,36864,93703293.239657
BLS12-377,ntt,512,8,parallel,10,633158.500000,790275.000000,645330.400000,0.15241988,36864,58222388.232962
BLS12-377-G1,msm,2,1,serial,10,2217471.500000,2536704.750000,2277275.600000,0.06205898,16,7215.425317
BLS12-377-G1,msm,2,2,parallel,10,1519533.500000,1728481.350000,1511767.800000,0.10410309,16,10529.547391
BLS12-377-G1,msm,2,4,parallel,10,970195.500000,1003890.300000,948132.900000,0.05736436,16,16491.521554
BLS12-377-G1,msm,2,8,parallel,10,804583.000000,975841.500000,824877.800000,0.11821695,16,19886.077633
BLS12-377-G1,msm,4,1,serial,10,3168356.000000,3418757.600000,3203972.200000,0.04107795,32,10099.875140
BLS12-377-G1,msm,4,2,parallel,10,1948654.000000,2291097.700000,1991787.300000,0.10148333,32,16421.591519
BLS12-377-G1,msm,4,4,parallel,10,1222335.000000,1357233.000000,1245272.700000,0.05897056,32,26179.402537
BLS12-377-G1,msm,4,8,parallel,10,1068410.500000,1160501.050000,1050063.200000,0.08870180,32,29951.034738
BLS12-377-G1,msm,8,1,serial,10,4588869.000000,4728041.050000,4609588.000000,0.01596958,64,13946.791682
BLS12-377-G1,msm,8,2,parallel,10,2741648.000000,3217237.650000,2794757.300000,0.10400361,64,23343.623981
BLS12-377-G1,msm,8,4,parallel,10,1646763.500000,1739225.400000,1617342.100000,0.06535316,64,38864.111331
BLS12-377-G1,msm,8,8,parallel,10,1340572.500000,1571022.550000,1340739.500000,0.10851955,64,47740.797309
BLS12-377-G1,msm,16,1,serial,10,7042259.500000,7232176.750000,7067067.800000,0.01490234,128,18175.984569
BLS12-377-G1,msm,16,2,parallel,10,3949286.000000,4274517.750000,3944382.800000,0.05718273,128,32410.921873
BLS12-377-G1,msm,16,4,parallel,10,2353887.500000,2470722.700000,2358529.000000,0.03406397,128,54378.129796
BLS12-377-G1,msm,16,8,parallel,10,1979073.000000,2229043.900000,1924545.400000,0.11609209,128,64676.745123
BLS12-377-G1,msm,32,1,serial,10,11735808.500000,12114302.850000,11770684.100000,0.01833362,256,21813.580206
BLS12-377-G1,msm,32,2,parallel,10,6161974.000000,7557578.700000,6377571.300000,0.11967748,256,41545.128233
BLS12-377-G1,msm,32,4,parallel,10,3610394.500000,3972047.200000,3641074.500000,0.05636676,256,70906.378790
BLS12-377-G1,msm,32,8,parallel,10,2434029.000000,3163485.300000,2552672.100000,0.14778814,256,105175.410811
BLS12-377-G1,msm,64,1,serial,10,19492946.000000,19984390.450000,19589512.800000,0.01203553,512,26265.911782
BLS12-377-G1,msm,64,2,parallel,10,10444253.000000,11778074.100000,10703731.300000,0.06159820,512,49022.175162
BLS12-377-G1,msm,64,4,parallel,10,5528535.000000,5751979.750000,5532005.300000,0.03442049,512,92610.429345
BLS12-377-G1,msm,64,8,parallel,10,3427560.500000,4878258.850000,3883825.600000,0.18580265,512,149377.377876
BLS12-377-G1,msm,128,1,serial,10,30476021.000000,30903871.550000,30488394.300000,0.00903164,1024,33600.186849
BLS12-377-G1,msm,128,2,parallel,10,15820022.000000,22614082.800000,17083080.000000,0.17071874,1024,64728.102148
BLS12-377-G1,msm,128,4,parallel,10,8210586.000000,11899524.500000,8958534.100000,0.18921844,1024,124717.042121
BLS12-377-G1,msm,128,8,parallel,10,6168105.500000,7201355.300000,6030842.300000,0.18590281,1024,166015.318642
BLS12-377-G1,msm,256,1,serial,10,52113151.000000,52615013.300000,52149857.900000,0.00660641,2048,39299.101296
BLS12-377-G1,msm,256,2,parallel,10,26680810.000000,27017732.800000,26666403.200000,0.00991272,2048,76759.288792
BLS12-377-G1,msm,256,4,parallel,10,13674207.500000,16585110.950000,14151419.900000,0.11377491,2048,149771.019637
BLS12-377-G1,msm,256,8,parallel,10,10651166.000000,11732928.450000,10218737.300000,0.14264802,2048,192279.418047
BLS12-377-G1,msm,512,1,serial,10,91313827.500000,93886261.400000,91559819.800000,0.01666098,4096,44856.295176
BLS12-377-G1,msm,512,2,parallel,10,46447147.500000,50157645.200000,47056381.400000,0.04216115,4096,88186.255141
BLS12-377-G1,msm,512,4,parallel,10,23582228.500000,28265638.400000,24399313.100000,0.09114383,4096,173690.115843
BLS12-377-G1,msm,512,8,parallel,10,15100803.500000,20037250.700000,15661089.800000,0.20876566,4096,271243.844740
BLS12-381,field_add,2,1,serial,10,391.000000,740.500000,457.700000,0.40585086,16,40920716.112532
BLS12-381,field_add,2,2,parallel,10,92497.000000,97860.050000,91560.500000,0.07245101,16,172978.583089
BLS12-381,field_add,2,4,parallel,10,231671.000000,282236.400000,221829.200000,0.20764955,16,69063.456367
BLS12-381,field_add,2,8,parallel,10,406351.000000,472791.650000,416971.200000,0.09436793,16,39374.826197
BLS12-381,field_add,4,1,serial,10,440.500000,657.500000,464.600000,0.25147505,32,72644721.906924
BLS12-381,field_add,4,2,parallel,10,90270.500000,128968.250000,94002.200000,0.21073900,32,354490.115819
BLS12-381,field_add,4,4,parallel,10,226629.000000,339370.450000,234983.800000,0.30757449,32,141199.934695
BLS12-381,field_add,4,8,parallel,10,460447.000000,603683.550000,467532.400000,0.18101714,32,69497.683773
BLS12-381,field_add,8,1,serial,10,581.000000,705.550000,589.200000,0.13976109,64,110154905.335628
BLS12-381,field_add,8,2,parallel,10,95077.000000,104882.700000,93991.000000,0.09803184,64,673138.613966
BLS12-381,field_add,8,4,parallel,10,181753.500000,285986.750000,194926.300000,0.27955797,64,352125.268564
BLS12-381,field_add,8,8,parallel,10,450525.000000,529462.800000,453229.000000,0.11277926,64,142056.489651
BLS12-381,field_add,16,1,serial,10,796.500000,1098.050000,821.700000,0.20946678,128,160703075.957313
BLS12-381,field_add,16,2,parallel,10,94051.500000,126215.750000,97359.100000,0.16885944,128,1360956.497238
BLS12-381,field_add,16,4,parallel,10,238804.500000,316472.750000,226031.300000,0.29177907,128,536003.299770
BLS12-381,field_add,16,8,parallel,10,453482.500000,486725.150000,444795.100000,0.08574054,128,282260.065162
BLS12-381,field_add,32,1,serial,10,1022.000000,1339.050000,1038.100000,0.17781167,256,250489236.790607
BLS12-381,field_add,32,2,parallel,10,84514.500000,94605.800000,85334.300000,0.07353627,256,3029066.018257
BLS12-381,field_add,32,4,parallel,10,208118.000000,330238.700000,213755.200000,0.37217609,256,1230071.401801
BLS12-381,field_add,32,8,parallel,10,445450.500000,605273.000000,468196.500000,0.18433372,256,574699.096757
BLS12-381,field_add,64,1,serial,10,1433.000000,1737.000000,1477.900000,0.13957241,512,357292393.579902
BLS12-381,field_add,64,2,parallel,10,98919.000000,113907.600000,96550.200000,0.13374967,512,5175952.041569
BLS12-381,field_add,64,4,parallel,10,231180.500000,346322.800000,238394.700000,0.29012426,512,2214719.667100
BLS12-381,field_add,64,8,parallel,10,444211.500000,507008.100000,431915.300000,0.13618038,512,1152604.108628
BLS12-381,field_add,128,1,serial,10,2334.500000,2718.500000,2360.400000,0.10737051,1024,438637823.945170
BLS12-381,field_add,128,2,parallel,10,101885.000000,132880.350000,105495.500000,0.16427652,1024,10050547.185552
BLS12-381,field_add,128,4,parallel,10,267050.500000,327580.050000,249315.900000,0.30330855,1024,3834480.744279
BLS12-381,field_add,128,8,parallel,10,456765.000000,548855.200000,455667.800000,0.13967682,1024,2241853.031646
BLS12-381,field_add,256,1,serial,10,3697.000000,5261.050000,4018.300000,0.19075238,2048,553962672.437111
BLS12-381,field_add,256,2,parallel,10,95284.500000,124136.100000,99083.800000,0.16339035,2048,21493527.278833
BLS12-381,field_add,256,4,parallel,10,156210.500000,377863.850000,216820.500000,0.48509159,2048,13110514.338025
BLS12-381,field_add,256,8,parallel,10,466983.000000,574755.000000,464670.600000,0.19169080,2048,4385598.619222
BLS12-381,field_add,512,1,serial,10,7539.000000,8419.450000,7162.400000,0.14899106,4096,543308131.051864
BLS12-381,field_add,512,2,parallel,10,96067.000000,165764.600000,107857.100000,0.28527463,4096,42636909.656802
BLS12-381,field_add,512,4,parallel,10,209284.500000,322278.950000,216910.000000,0.32968685,4096,19571444.612477
BLS12-381,field_add,512,8,parallel,10,519897.500000,779286.300000,556175.300000,0.24044958,4096,7878476.045759
BLS12-381,field_inv,2,1,serial,10,78420.500000,91500.750000,79116.100000,0.12111813,16,204028.283421
BLS12-381,field_inv,2,2,parallel,10,135628.000000,187981.150000,143720.500000,0.17258085,16,117969.740761
BLS12-381,field_inv,2,4,parallel,10,191743.500000,301002.850000,204284.600000,0.30977918,16,83444.810385
BLS12-381,field_inv,2,8,parallel,10,615236.000000,716120.000000,593054.100000,0.17855964,16,26006.280517
BLS12-381,field_inv,4,1,serial,10,113907.000000,142966.850000,120976.100000,0.11501402,32,280930.934885
BLS12-381,field_inv,4,2,parallel,10,165257.500000,192830.550000,168308.300000,0.08644107,32,193637.202548
BLS12-381,field_inv,4,4,parallel,10,204459.500000,230394.700000,199288.800000,0.11787381,32,156510.213514
BLS12-381,field_inv,4,8,parallel,10,581061.500000,667877.700000,553739.200000,0.21653765,32,55071.623227
BLS12-381,field_inv,8,1,serial,10,204776.000000,231288.400000,204063.800000,0.12584413,64,312536.625386
BLS12-381,field_inv,8,2,parallel,10,226414.000000,411360.600000,261347.700000,0.31471375,64,282668.032895
