curve,operation,size,threads,serial_elapsed_ns_p50,parallel_elapsed_ns_p50,speedup,efficiency
BLS12-377,field_inv,16,2,319334.000000,303455.000000,1.05232736,0.52616368
BLS12-377,field_inv,16,4,319334.000000,270137.500000,1.18211651,0.29552913
BLS12-377,field_inv,16,8,319334.000000,623649.500000,0.51204082,0.06400510
BLS12-377,field_inv,32,2,582369.500000,462235.500000,1.25989782,0.62994891
BLS12-377,field_inv,32,4,582369.500000,401777.500000,1.44948261,0.36237065
BLS12-377,field_inv,32,8,582369.500000,658871.500000,0.88388935,0.11048617
BLS12-377,field_inv,64,2,1147770.500000,806691.500000,1.42281219,0.71140610
BLS12-377,field_inv,64,4,1147770.500000,596593.000000,1.92387524,0.48096881
BLS12-377,field_inv,64,8,1147770.500000,672970.000000,1.70552996,0.21319125
BLS12-377,field_inv,128,2,2321088.500000,1373646.000000,1.68972829,0.84486414
BLS12-377,field_inv,128,4,2321088.500000,905213.000000,2.56413518,0.64103380
BLS12-377,field_inv,128,8,2321088.500000,869193.500000,2.67039330,0.33379916
BLS12-377,field_inv,256,2,4361943.000000,2428375.000000,1.79623946,0.89811973
BLS12-377,field_inv,256,4,4361943.000000,1480352.000000,2.94655798,0.73663950
BLS12-377,field_inv,256,8,4361943.000000,1179031.500000,3.69959836,0.46244979
BLS12-377,field_inv,512,2,8566095.000000,4603968.000000,1.86058960,0.93029480
BLS12-377,field_inv,512,4,8566095.000000,2541175.500000,3.37091830,0.84272958
BLS12-377,field_inv,512,8,8566095.000000,1756386.500000,4.87711275,0.60963909
BLS12-377,field_mul,2,2,601.000000,95889.000000,0.00626766,0.00313383
BLS12-377,field_mul,2,4,601.000000,236716.000000,0.00253891,0.00063473
BLS12-377,field_mul,2,8,601.000000,436300.500000,0.00137749,0.00017219
BLS12-377,field_mul,4,2,841.500000,97426.000000,0.00863732,0.00431866
BLS12-377,field_mul,4,4,841.500000,170951.000000,0.00492246,0.00123062
BLS12-377,field_mul,4,8,841.500000,469899.500000,0.00179081,0.00022385
BLS12-377,field_mul,8,2,1532.500000,97244.500000,0.01575925,0.00787962
BLS12-377,field_mul,8,4,1532.500000,200222.000000,0.00765400,0.00191350
BLS12-377,field_mul,8,8,1532.500000,462673.500000,0.00331227,0.00041403
BLS12-377,field_mul,16,2,2760.000000,93043.500000,0.02966354,0.01483177
BLS12-377,field_mul,16,4,2760.000000,223423.000000,0.01235325,0.00308831
BLS12-377,field_mul,16,8,2760.000000,499582.000000,0.00552462,0.00069058
BLS12-377,field_mul,32,2,5274.500000,90946.500000,0.05799563,0.02899782
BLS12-377,field_mul,32,4,5274.500000,220079.000000,0.02396639,0.00599160
BLS12-377,field_mul,32,8,5274.500000,550892.500000,0.00957446,0.00119681
BLS12-377,field_mul,64,2,8405.000000,103838.500000,0.08094300,0.04047150
BLS12-377,field_mul,64,4,8405.000000,215827.000000,0.03894323,0.00973581
BLS12-377,field_mul,64,8,8405.000000,596532.500000,0.01408976,0.00176122
BLS12-377,field_mul,128,2,18144.000000,108762.500000,0.16682220,0.08341110
BLS12-377,field_mul,128,4,18144.000000,197470.000000,0.09188231,0.02297058
BLS12-377,field_mul,128,8,18144.000000,518465.000000,0.03499561,0.00437445
BLS12-377,field_mul,256,2,35170.500000,112855.500000,0.31164188,0.15582094
BLS12-377,field_mul,256,4,35170.500000,198325.000000,0.17733770,0.04433443
BLS12-377,field_mul,256,8,35170.500000,475301.500000,0.07399619,0.00924952
BLS12-377,field_mul,512,2,64199.500000,150838.500000,0.42561747,0.21280873
BLS12-377,field_mul,512,4,64199.500000,195965.000000,0.32760697,0.08190174
BLS12-377,field_mul,512,8,64199.500000,607315.000000,0.10571038,0.01321380
BLS12-377,multi_pairing,2,2,12393381.500000,6636788.500000,1.86737629,0.93368815
BLS12-377,multi_pairing,2,4,12393381.500000,3599519.000000,3.44306600,0.86076650
BLS12-377,multi_pairing,2,8,12393381.500000,2669779.000000,4.64210015,0.58026252
BLS12-377,multi_pairing,4,2,18009521.500000,9008292.500000,1.99921589,0.99960794
BLS12-377,multi_pairing,4,4,18009521.500000,5007937.000000,3.59619570,0.89904892
BLS12-377,multi_pairing,4,8,18009521.500000,3127034.500000,5.75929735,0.71991217
BLS12-377,multi_pairing,8,2,31450230.500000,15167892.500000,2.07347398,1.03673699
BLS12-377,multi_pairing,8,4,31450230.500000,7945394.000000,3.95829716,0.98957429
BLS12-377,multi_pairing,8,8,31450230.500000,5285807.500000,5.94993868,0.74374234
BLS12-377,multi_pairing,16,2,57910553.500000,27957927.000000,2.07134647,1.03567324
BLS12-377,multi_pairing,16,4,57910553.500000,14336735.000000,4.03931254,1.00982814
BLS12-377,multi_pairing,16,8,57910553.500000,10335836.500000,5.60288986,0.70036123
BLS12-377,multi_pairing,32,2,106278372.500000,53542228.000000,1.98494490,0.99247245
BLS12-377,multi_pairing,32,4,106278372.500000,27208124.000000,3.90612644,0.97653161
BLS12-377,multi_pairing,32,8,106278372.500000,17427580.500000,6.09828613,0.76228577
BLS12-377,multi_pairing,64,2,200835584.000000,103416355.000000,1.94200989,0.97100494
BLS12-377,multi_pairing,64,4,200835584.000000,51932154.500000,3.86726848,0.96681712
BLS12-377,multi_pairing,64,8,200835584.000000,35381150.000000,5.67634416,0.70954302
BLS12-377,ntt,2,2,1623.000000,103285.000000,0.01571380,0.00785690
BLS12-377,ntt,2,4,1623.000000,165898.000000,0.00978312,0.00244578
BLS12-377,ntt,2,8,1623.000000,623058.000000,0.00260489,0.00032561
BLS12-377,ntt,4,2,2820.500000,87077.000000,0.03239087,0.01619544
BLS12-377,ntt,4,4,2820.500000,149531.500000,0.01886225,0.00471556
BLS12-377,ntt,4,8,2820.500000,509484.000000,0.00553599,0.00069200
BLS12-377,ntt,8,2,5621.000000,91881.500000,0.06117662,0.03058831
BLS12-377,ntt,8,4,5621.000000,174778.500000,0.03216071,0.00804018
BLS12-377,ntt,8,8,5621.000000,537193.500000,0.01046364,0.00130796
BLS12-377,ntt,16,2,12789.000000,96337.000000,0.13275273,0.06637637
BLS12-377,ntt,16,4,12789.000000,175080.500000,0.07304640,0.01826160
BLS12-377,ntt,16,8,12789.000000,491394.500000,0.02602593,0.00325324
BLS12-377,ntt,32,2,24891.000000,118255.000000,0.21048581,0.10524291
BLS12-377,ntt,32,4,24891.000000,153943.500000,0.16168919,0.04042230
BLS12-377,ntt,32,8,24891.000000,507684.500000,0.04902848,0.00612856
BLS12-377,ntt,64,2,55153.000000,138195.500000,0.39909404,0.19954702
BLS12-377,ntt,64,4,55153.000000,175602.000000,0.31407957,0.07851989
BLS12-377,ntt,64,8,55153.000000,575223.000000,0.09588108,0.01198513
BLS12-377,ntt,128,2,132596.500000,174919.500000,0.75804299,0.37902149
BLS12-377,ntt,128,4,132596.500000,195664.500000,0.67767275,0.16941819
BLS12-377,ntt,128,8,132596.500000,550456.000000,0.24088483,0.03011060
BLS12-377,ntt,256,2,280652.500000,269948.000000,1.03965393,0.51982697
BLS12-377,ntt,256,4,280652.500000,280548.500000,1.00037070,0.25009268
BLS12-377,ntt,256,8,280652.500000,507571.500000,0.55293195,0.06911649
BLS12-377,ntt,512,2,648882.500000,486293.500000,1.33434335,0.66717168
BLS12-377,ntt,512,4,648882.500000,393412.000000,1.64937140,0.41234285
BLS12-377,ntt,512,8,648882.500000,633158.500000,1.02483422,0.12810428
BLS12-377-G1,msm,2,2,2217471.500000,1519533.500000,1.45931070,0.72965535
BLS12-377-G1,msm,2,4,2217471.500000,970195.500000,2.28559244,0.57139811
BLS12-377-G1,msm,2,8,2217471.500000,804583.000000,2.75605065,0.34450633
BLS12-377-G1,msm,4,2,3168356.000000,1948654.000000,1.62592025,0.81296013
BLS12-377-G1,msm,4,4,3168356.000000,1222335.000000,2.59205210,0.64801302
BLS12-377-G1,msm,4,8,3168356.000000,1068410.500000,2.96548564,0.37068571
BLS12-377-G1,msm,8,2,4588869.000000,2741648.000000,1.67376301,0.83688150
BLS12-377-G1,msm,8,4,4588869.000000,1646763.500000,2.78659868,0.69664967
BLS12-377-G1,msm,8,8,4588869.000000,1340572.500000,3.42306664,0.42788333
BLS12-377-G1,msm,16,2,7042259.500000,3949286.000000,1.78317283,0.89158642
BLS12-377-G1,msm,16,4,7042259.500000,2353887.500000,2.99175704,0.74793926
BLS12-377-G1,msm,16,8,7042259.500000,1979073.000000,3.55836268,0.44479533
BLS12-377-G1,msm,32,2,11735808.500000,6161974.000000,1.90455339,0.95227670
BLS12-377-G1,msm,32,4,11735808.500000,3610394.500000,3.25056126,0.81264032
BLS12-377-G1,msm,32,8,11735808.500000,2434029.000000,4.82155656,0.60269457
BLS12-377-G1,msm,64,2,19492946.000000,10444253.000000,1.86638010,0.93319005
BLS12-377-G1,msm,64,4,19492946.000000,5528535.000000,3.52587910,0.88146977
BLS12-377-G1,msm,64,8,19492946.000000,3427560.500000,5.68711945,0.71088993
BLS12-377-G1,msm,128,2,30476021.000000,15820022.000000,1.92642090,0.96321045
BLS12-377-G1,msm,128,4,30476021.000000,8210586.000000,3.71179609,0.92794902
BLS12-377-G1,msm,128,8,30476021.000000,6168105.500000,4.94090463,0.61761308
BLS12-377-G1,msm,256,2,52113151.000000,26680810.000000,1.95320723,0.97660362
BLS12-377-G1,msm,256,4,52113151.000000,13674207.500000,3.81105457,0.95276364
BLS12-377-G1,msm,256,8,52113151.000000,10651166.000000,4.89271794,0.61158974
BLS12-377-G1,msm,512,2,91313827.500000,46447147.500000,1.96597278,0.98298639
BLS12-377-G1,msm,512,4,91313827.500000,23582228.500000,3.87214582,0.96803645
BLS12-377-G1,msm,512,8,91313827.500000,15100803.500000,6.04695157,0.75586895
BLS12-381,field_add,2,2,391.000000,92497.000000,0.00422716,0.00211358
BLS12-381,field_add,2,4,391.000000,231671.000000,0.00168774,0.00042193
BLS12-381,field_add,2,8,391.000000,406351.000000,0.00096222,0.00012028
BLS12-381,field_add,4,2,440.500000,90270.500000,0.00487978,0.00243989
BLS12-381,field_add,4,4,440.500000,226629.000000,0.00194371,0.00048593
BLS12-381,field_add,4,8,440.500000,460447.000000,0.00095668,0.00011958
BLS12-381,field_add,8,2,581.000000,95077.000000,0.00611084,0.00305542
BLS12-381,field_add,8,4,581.000000,181753.500000,0.00319664,0.00079916
BLS12-381,field_add,8,8,581.000000,450525.000000,0.00128961,0.00016120
BLS12-381,field_add,16,2,796.500000,94051.500000,0.00846876,0.00423438
BLS12-381,field_add,16,4,796.500000,238804.500000,0.00333536,0.00083384
BLS12-381,field_add,16,8,796.500000,453482.500000,0.00175641,0.00021955
BLS12-381,field_add,32,2,1022.000000,84514.500000,0.01209260,0.00604630
BLS12-381,field_add,32,4,1022.000000,208118.000000,0.00491068,0.00122767
BLS12-381,field_add,32,8,1022.000000,445450.500000,0.00229431,0.00028679
BLS12-381,field_add,64,2,1433.000000,98919.000000,0.01448660,0.00724330
BLS12-381,field_add,64,4,1433.000000,231180.500000,0.00619862,0.00154965
BLS12-381,field_add,64,8,1433.000000,444211.500000,0.00322594,0.00040324
BLS12-381,field_add,128,2,2334.500000,101885.000000,0.02291309,0.01145654
BLS12-381,field_add,128,4,2334.500000,267050.500000,0.00874179,0.00218545
BLS12-381,field_add,128,8,2334.500000,456765.000000,0.00511094,0.00063887
BLS12-381,field_add,256,2,3697.000000,95284.500000,0.03879959,0.01939980
BLS12-381,field_add,256,4,3697.000000,156210.500000,0.02366678,0.00591670
BLS12-381,field_add,256,8,3697.000000,466983.000000,0.00791678,0.00098960
BLS12-381,field_add,512,2,7539.000000,96067.000000,0.07847648,0.03923824
BLS12-381,field_add,512,4,7539.000000,209284.500000,0.03602273,0.00900568
BLS12-381,field_add,512,8,7539.000000,519897.500000,0.01450094,0.00181262
BLS12-381,field_inv,2,2,78420.500000,135628.000000,0.57820288,0.28910144
BLS12-381,field_inv,2,4,78420.500000,191743.500000,0.40898648,0.10224662
BLS12-381,field_inv,2,8,78420.500000,615236.000000,0.12746410,0.01593301
BLS12-381,field_inv,4,2,113907.000000,165257.500000,0.68926978,0.34463489
BLS12-381,field_inv,4,4,113907.000000,204459.500000,0.55711278,0.13927819
BLS12-381,field_inv,4,8,113907.000000,581061.500000,0.19603261,0.02450408
BLS12-381,field_inv,8,2,204776.000000,226414.000000,0.90443170,0.45221585
BLS12-381,field_inv,8,4,204776.000000,226343.000000,0.90471541,0.22617885
BLS12-381,field_inv,8,8,204776.000000,622041.500000,0.32919990,0.04114999
BLS12-381,field_inv,16,2,335915.000000,300178.500000,1.11905083,0.55952542
BLS12-381,field_inv,16,4,335915.000000,335371.000000,1.00162208,0.25040552
BLS12-381,field_inv,16,8,335915.000000,626524.000000,0.53615664,0.06701958
BLS12-381,field_inv,32,2,652093.000000,463212.000000,1.40776362,0.70388181
BLS12-381,field_inv,32,4,652093.000000,455669.000000,1.43106729,0.35776682
BLS12-381,field_inv,32,8,652093.000000,623541.000000,1.04579009,0.13072376
BLS12-381,field_inv,64,2,1131175.000000,819605.500000,1.38014569,0.69007285
BLS12-381,field_inv,64,4,1131175.000000,609963.000000,1.85449773,0.46362443
BLS12-381,field_inv,64,8,1131175.000000,694232.000000,1.62939046,0.20367381
BLS12-381,field_inv,128,2,2227284.500000,1349784.000000,1.65010439,0.82505219
BLS12-381,field_inv,128,4,2227284.500000,938005.500000,2.37448981,0.59362245
BLS12-381,field_inv,128,8,2227284.500000,822017.500000,2.70953416,0.33869177
BLS12-381,field_inv,256,2,4399291.500000,2631226.000000,1.67195501,0.83597751
BLS12-381,field_inv,256,4,4399291.500000,1590578.500000,2.76584369,0.69146092
BLS12-381,field_inv,256,8,4399291.500000,1243840.000000,3.53686286,0.44210786
BLS12-381,field_inv,512,2,8769098.000000,5185760.500000,1.69099556,0.84549778
BLS12-381,field_inv,512,4,8769098.000000,2668644.500000,3.28597458,0.82149365
BLS12-381,field_inv,512,8,8769098.000000,2538313.500000,3.45469462,0.43183683
BLS12-381,field_mul,2,2,711.500000,87874.000000,0.00809682,0.00404841
BLS12-381,field_mul,2,4,711.500000,191466.500000,0.00371605,0.00092901
BLS12-381,field_mul,2,8,711.500000,477613.000000,0.00148970,0.00018621
BLS12-381,field_mul,4,2,897.000000,94118.000000,0.00953059,0.00476529
BLS12-381,field_mul,4,4,897.000000,262576.500000,0.00341615,0.00085404
BLS12-381,field_mul,4,8,897.000000,470931.000000,0.00190474,0.00023809
BLS12-381,field_mul,8,2,1578.000000,93105.500000,0.01694852,0.00847426
BLS12-381,field_mul,8,4,1578.000000,196140.000000,0.00804527,0.00201132
BLS12-381,field_mul,8,8,1578.000000,459152.500000,0.00343677,0.00042960
BLS12-381,field_mul,16,2,2515.000000,96801.000000,0.02598114,0.01299057
BLS12-381,field_mul,16,4,2515.000000,179018.000000,0.01404887,0.00351222
BLS12-381,field_mul,16,8,2515.000000,506205.000000,0.00496834,0.00062104
BLS12-381,field_mul,32,2,5214.500000,93416.500000,0.05581990,0.02790995
BLS12-381,field_mul,32,4,5214.500000,188464.000000,0.02766841,0.00691710
BLS12-381,field_mul,32,8,5214.500000,534628.000000,0.00975351,0.00121919
BLS12-381,field_mul,64,2,10419.000000,102998.000000,0.10115730,0.05057865
BLS12-381,field_mul,64,4,10419.000000,242492.000000,0.04296637,0.01074159
BLS12-381,field_mul,64,8,10419.000000,533347.500000,0.01953511,0.00244189
BLS12-381,field_mul,128,2,17102.000000,108890.000000,0.15705758,0.07852879
BLS12-381,field_mul,128,4,17102.000000,171103.500000,0.09995120,0.02498780
BLS12-381,field_mul,128,8,17102.000000,530814.500000,0.03221841,0.00402730
BLS12-381,field_mul,256,2,33883.000000,121171.000000,0.27962961,0.13981481
BLS12-381,field_mul,256,4,33883.000000,162397.000000,0.20864302,0.05216075
BLS12-381,field_mul,256,8,33883.000000,577071.000000,0.05871548,0.00733943
BLS12-381,field_mul,512,2,82404.000000,148131.000000,0.55629139,0.27814570
BLS12-381,field_mul,512,4,82404.000000,191662.000000,0.42994438,0.10748610
BLS12-381,field_mul,512,8,82404.000000,553453.000000,0.14889069,0.01861134
BLS12-381,multi_pairing,2,2,10384628.500000,5635958.500000,1.84256653,0.92128327
BLS12-381,multi_pairing,2,4,10384628.500000,3259582.000000,3.18587736,0.79646934
BLS12-381,multi_pairing,2,8,10384628.500000,2335006.500000,4.44736599,0.55592075
BLS12-381,multi_pairing,4,2,14889145.500000,7774218.500000,1.91519514,0.95759757
BLS12-381,multi_pairing,4,4,14889145.500000,4334517.000000,3.43501837,0.85875459
BLS12-381,multi_pairing,4,8,14889145.500000,2764830.500000,5.38519287,0.67314911
BLS12-381,multi_pairing,8,2,25048778.500000,13160830.000000,1.90328258,0.95164129
BLS12-381,multi_pairing,8,4,25048778.500000,6898950.500000,3.63081001,0.90770250
BLS12-381,multi_pairing,8,8,25048778.500000,4981480.500000,5.02838032,0.62854754
BLS12-381,multi_pairing,16,2,47497961.000000,23988195.500000,1.98005561,0.99002780
BLS12-381,multi_pairing,16,4,47497961.000000,12512612.500000,3.79600671,0.94900168
BLS12-381,multi_pairing,16,8,47497961.000000,9889076.500000,4.80307347,0.60038418
BLS12-381,multi_pairing,32,2,90680598.500000,45206776.500000,2.00590720,1.00295360
BLS12-381,multi_pairing,32,4,90680598.500000,23460527.000000,3.86524133,0.96631033
BLS12-381,multi_pairing,32,8,90680598.500000,16860763.500000,5.37820239,0.67227530
BLS12-381,multi_pairing,64,2,173921690.000000,90356181.000000,1.92484552,0.96242276
BLS12-381,multi_pairing,64,4,173921690.000000,45639160.000000,3.81079954,0.95269989
BLS12-381,multi_pairing,64,8,173921690.000000,32033815.000000,5.42931555,0.67866444
BLS12-381,ntt,2,2,1698.000000,89980.500000,0.01887076,0.00943538
BLS12-381,ntt,2,4,1698.000000,139269.500000,0.01219219,0.00304805
BLS12-381,ntt,2,8,1698.000000,533175.000000,0.00318470,0.00039809
BLS12-381,ntt,4,2,2875.000000,87197.500000,0.03297113,0.01648556
BLS12-381,ntt,4,4,2875.000000,157799.000000,0.01821938,0.00455485
BLS12-381,ntt,4,8,2875.000000,568891.000000,0.00505369,0.00063171
BLS12-381,ntt,8,2,5831.000000,91054.500000,0.06403857,0.03201929
BLS12-381,ntt,8,4,5831.000000,205562.500000,0.02836607,0.00709152
BLS12-381,ntt,8,8,5831.000000,551516.500000,0.01057267,0.00132158
BLS12-381,ntt,16,2,12468.000000,101799.500000,0.12247604,0.06123802
BLS12-381,ntt,16,4,12468.000000,189009.500000,0.06596494,0.01649123
BLS12-381,ntt,16,8,12468.000000,573447.500000,0.02174218,0.00271777
BLS12-381,ntt,32,2,27957.000000,111668.500000,0.25035708,0.12517854
BLS12-381,ntt,32,4,27957.000000,167446.500000,0.16696079,0.04174020
BLS12-381,ntt,32,8,27957.000000,553123.000000,0.05054391,0.00631799
BLS12-381,ntt,64,2,56860.500000,132787.500000,0.42820672,0.21410336
BLS12-381,ntt,64,4,56860.500000,164345.500000,0.34598148,0.08649537
BLS12-381,ntt,64,8,56860.500000,565164.500000,0.10060876,0.01257610
BLS12-381,ntt,128,2,146292.500000,182129.000000,0.80323562,0.40161781
BLS12-381,ntt,128,4,146292.500000,197195.000000,0.74186719,0.18546680
BLS12-381,ntt,128,8,146292.500000,573617.500000,0.25503493,0.03187937
BLS12-381,ntt,256,2,297052.500000,267204.500000,1.11170471,0.55585235
BLS12-381,ntt,256,4,297052.500000,312779.500000,0.94971857,0.23742964
BLS12-381,ntt,256,8,297052.500000,590834.500000,0.50276770,0.06284596
BLS12-381,ntt,512,2,657053.000000,563637.000000,1.16573788,0.58286894
BLS12-381,ntt,512,4,657053.000000,445282.500000,1.47558685,0.36889671
BLS12-381,ntt,512,8,657053.000000,567818.000000,1.15715423,0.14464428
BLS12-381-G1,msm,2,2,2294775.000000,1465775.500000,1.56557058,0.78278529
BLS12-381-G1,msm,2,4,2294775.000000,956812.000000,2.39835516,0.59958879
BLS12-381-G1,msm,2,8,2294775.000000,887666.500000,2.58517698,0.32314712
BLS12-381-G1,msm,4,2,3237523.500000,1929979.500000,1.67749113,0.83874557
BLS12-381-G1,msm,4,4,3237523.500000,1270592.000000,2.54804335,0.63701084
BLS12-381-G1,msm,4,8,3237523.500000,1105356.500000,2.92894057,0.36611757
BLS12-381-G1,msm,8,2,4672143.500000,2669147.500000,1.75042537,0.87521268
BLS12-381-G1,msm,8,4,4672143.500000,1649732.500000,2.83206126,0.70801531
BLS12-381-G1,msm,8,8,4672143.500000,1564179.500000,2.98696122,0.37337015
BLS12-381-G1,msm,16,2,7289663.500000,3899910.500000,1.86918738,0.93459369
BLS12-381-G1,msm,16,4,7289663.500000,2456350.000000,2.96768111,0.74192028
BLS12-381-G1,msm,16,8,7289663.500000,1863473.000000,3.91186966,0.48898371
BLS12-381-G1,msm,32,2,11904562.000000,6280266.000000,1.89555060,0.94777530
BLS12-381-G1,msm,32,4,11904562.000000,3579485.500000,3.32577461,0.83144365
BLS12-381-G1,msm,32,8,11904562.000000,2712086.500000,4.38944776,0.54868097
BLS12-381-G1,msm,64,2,19991823.000000,10120435.000000,1.97539167,0.98769584
BLS12-381-G1,msm,64,4,19991823.000000,5734869.000000,3.48601215,0.87150304
BLS12-381-G1,msm,64,8,19991823.000000,4703036.500000,4.25083305,0.53135413
BLS12-381-G1,msm,128,2,30750009.500000,15973989.000000,1.92500505,0.96250253
BLS12-381-G1,msm,128,4,30750009.500000,8277268.500000,3.71499481,0.92874870
BLS12-381-G1,msm,128,8,30750009.500000,5018268.000000,6.12761405,0.76595176
BLS12-381-G1,msm,256,2,53260696.500000,27030052.500000,1.97042520,0.98521260
BLS12-381-G1,msm,256,4,53260696.500000,13935432.000000,3.82196235,0.95549059
BLS12-381-G1,msm,256,8,53260696.500000,8644913.500000,6.16092879,0.77011610
BLS12-381-G1,msm,512,2,91856336.000000,46997874.000000,1.95447854,0.97723927
BLS12-381-G1,msm,512,4,91856336.000000,23870775.500000,3.84806669,0.96201667
BLS12-381-G1,msm,512,8,91856336.000000,14090445.500000,6.51905123,0.81488140
BN254,field_add,2,2,581.000000,78835.500000,0.00736978,0.00368489
BN254,field_add,2,4,581.000000,238123.000000,0.00243992,0.00060998
BN254,field_add,2,8,581.000000,523259.000000,0.00111035,0.00013879
BN254,field_add,4,2,726.000000,85326.500000,0.00850849,0.00425425
BN254,field_add,4,4,726.000000,249797.500000,0.00290635,0.00072659
BN254,field_add,4,8,726.000000,486621.500000,0.00149192,0.00018649
BN254,field_add,8,2,726.000000,93216.000000,0.00778836,0.00389418
BN254,field_add,8,4,726.000000,203500.000000,0.00356757,0.00089189
BN254,field_add,8,8,726.000000,437358.500000,0.00165997,0.00020750
BN254,field_add,16,2,921.500000,90767.500000,0.01015231,0.00507616
BN254,field_add,16,4,921.500000,248073.500000,0.00371462,0.00092866
BN254,field_add,16,8,921.500000,533060.000000,0.00172870,0.00021609
BN254,field_add,32,2,1427.500000,78311.500000,0.01822848,0.00911424
BN254,field_add,32,4,1427.500000,275162.500000,0.00518784,0.00129696
BN254,field_add,32,8,1427.500000,523541.500000,0.00272662,0.00034083
BN254,field_add,64,2,2369.500000,95453.000000,0.02482374,0.01241187
BN254,field_add,64,4,2369.500000,187479.000000,0.01263875,0.00315969
BN254,field_add,64,8,2369.500000,576099.500000,0.00411300,0.00051413
BN254,field_add,128,2,3176.000000,91353.500000,0.03476605,0.01738302
BN254,field_add,128,4,3176.000000,224776.000000,0.01412962,0.00353241
BN254,field_add,128,8,3176.000000,528542.000000,0.00600898,0.00075112
BN254,field_add,256,2,6342.000000,104426.500000,0.06073171,0.03036586
BN254,field_add,256,4,6342.000000,214248.500000,0.02960114,0.00740029
BN254,field_add,256,8,6342.000000,591169.000000,0.01072790,0.00134099
BN254,field_add,512,2,12287.500000,100404.500000,0.12237997,0.06118999
BN254,field_add,512,4,12287.500000,184538.500000,0.06658502,0.01664626
BN254,field_add,512,8,12287.500000,544865.500000,0.02255144,0.00281893
BN254,field_inv,2,2,76157.000000,139310.000000,0.54667289,0.27333644
BN254,field_inv,2,4,76157.000000,187867.000000,0.40537721,0.10134430
BN254,field_inv,2,8,76157.000000,684485.000000,0.11126175,0.01390772
BN254,field_inv,4,2,112915.000000,163984.000000,0.68857328,0.34428664
BN254,field_inv,4,4,112915.000000,212715.500000,0.53082639,0.13270660
BN254,field_inv,4,8,112915.000000,633233.000000,0.17831509,0.02228939
BN254,field_inv,8,2,189582.500000,205672.000000,0.92177107,0.46088554
BN254,field_inv,8,4,189582.500000,249222.000000,0.76069729,0.19017432
BN254,field_inv,8,8,189582.500000,617239.000000,0.30714602,0.03839325
BN254,field_inv,16,2,312677.000000,268474.500000,1.16464320,0.58232160
BN254,field_inv,16,4,312677.000000,311357.000000,1.00423951,0.25105988
BN254,field_inv,16,8,312677.000000,690694.500000,0.45269942,0.05658743
BN254,field_inv,32,2,576713.500000,456173.500000,1.26424157,0.63212078
